what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322463028003
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463030127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463040259
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322463051216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463053294
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463061359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322463067295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463068794
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463079658
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322463085069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463089303
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463109536
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322463115670
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463117784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463133330
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463134702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463173440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463180581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463225415
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463228067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463286321
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322463288940
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1322463328246
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463329875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463420763
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322463427904
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322463431025
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1322463431226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322463431892
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322463432090
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1322463432906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322463433422
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463434276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463437336
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322463444523
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463447156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463450140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322463456938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463458222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463460765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463467205
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463468637
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322463470078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463473147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463482551
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463486085
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463489927
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463491206
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463493712
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463500514
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463502081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463503413
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463505995
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1322463507625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463509087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463510052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463512250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463513069
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322463514200
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322463519860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463526070
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322463531772
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1322463533573
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322463533939
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322463540951
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1322463542039
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1322463542392
